,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Occidental Petroleum - Rating: 9% - Upside: 780%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                       69.65,,,9/8/2015,,9/8/2015,,,,,4.34%,$             69.65,3.02,2.027,10,43.19,174.57,1%,2810%,0.15%,6.99%,1.03%,-21.13%,-3.45%,12.32,1.73%,-2.79%,,,,,1/1/2003,2003,,36,5.52%,5,2366,0.19%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                       69.80,,,9/14/2015,,9/14/2015,,,,,4.33%,$             69.80,3.02,2.027,10,43.19,174.57,1%,2804%,0.15%,6.99%,1.03%,-21.30%,-3.65%,12.32,1.73%,-2.58%,,,,,1/1/2004,2004,,37,5.67%,12,2378,0.45%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       68.82,,,9/21/2015,,9/21/2015,,,,,4.39%,$             68.82,3.02,2.027,10,43.19,174.57,1%,2846%,0.15%,6.99%,1.05%,-20.18%,-2.28%,12.32,1.73%,-3.95%,,,,,1/1/2005,2005,,38,5.82%,18,2396,0.68%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                       70.45,,,9/28/2015,,9/28/2015,,,,,4.29%,$             70.45,3.02,2.027,10,43.19,174.57,1%,2777%,0.15%,6.99%,1.02%,-22.03%,-4.54%,12.32,1.73%,-1.67%,,,,,1/1/2006,2006,,39,5.97%,22,2418,0.83%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                         71.61,,,10/5/2015,,10/5/2015,,,,,4.22%,$               71.61,3.02,2.027,10,43.19,174.57,1%,2731%,0.15%,6.99%,1.01%,-23.29%,-6.09%,12.32,1.73%,-0.05%,,,,,1/1/2007,2007,,40,6.12%,17,2435,0.64%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                       70.49,,,10/12/2015,,10/12/2015,,,,,4.28%,$             70.49,3.02,2.027,10,43.19,174.57,1%,2776%,0.15%,6.99%,1.02%,-22.07%,-4.60%,12.32,1.73%,-1.62%,,,,,1/1/2008,2008,,41,6.27%,25,2460,0.94%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,$                                                       69.72,,,10/19/2015,,10/19/2015,,,,,4.33%,$             69.72,3.02,2.027,10,43.19,174.57,1%,2807%,0.15%,6.99%,1.03%,-21.21%,-3.54%,12.32,1.73%,-2.69%,,,,,1/1/2009,2009,,42,6.42%,11,2471,0.41%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,$                                                       70.35,,,10/26/2015,,10/26/2015,,,,,4.29%,$             70.35,3.02,2.027,10,43.19,174.57,1%,2781%,0.15%,6.99%,1.02%,-21.92%,-4.41%,12.32,1.73%,-1.81%,,,,,1/1/2010,2010,,43,6.57%,10,2481,0.38%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,$                                                       66.40,,,11/2/2015,,11/2/2015,,,,,4.55%,$             66.40,3.02,2.027,10,43.19,174.57,1%,2953%,0.15%,6.99%,1.08%,-17.27%,1.28%,12.32,1.73%,-7.33%,,,,,1/1/2011,2011,,44,6.72%,7,2488,0.26%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,$                                                       68.43,,,11/9/2015,,11/9/2015,,,,,4.41%,$             68.43,3.02,2.027,10,43.19,174.57,1%,2862%,0.15%,6.99%,1.05%,-19.73%,-1.72%,12.32,1.73%,-4.49%,,,,,1/1/2012,2012,,45,6.87%,22,2510,0.83%
