,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/7/2023,1.970,00,,,,,,,,,,6.04%,1.970,00,119.00,5.190,96,1.616,00,2.873,00,10%,164%,2.29%,7.36%,6.04%,-14.62%,-14.62%,0,4.14%,-29.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/8/2023,1.948,00,,,,,,,,,,6.11%,1.948,00,119.00,5.190,96,1.616,00,2.873,00,9%,166%,2.29%,7.36%,6.11%,-13.66%,-13.66%,0,4.14%,-30.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/9/2023,1.950,00,,,,,,,,,,6.10%,1.950,00,119.00,5.190,96,1.616,00,2.873,00,9%,166%,2.29%,7.36%,6.10%,-13.74%,-13.74%,0,4.14%,-30.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/12/2023,1.954,00,,,,,,,,,,6.09%,1.954,00,119.00,5.190,96,1.616,00,2.873,00,9%,166%,2.29%,7.36%,6.09%,-13.92%,-13.92%,0,4.14%,-30.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/13/2023,1.954,00,,,,,,,,,,6.09%,1.954,00,119.00,5.190,96,1.616,00,2.873,00,9%,166%,2.29%,7.36%,6.09%,-13.92%,-13.92%,0,4.14%,-30.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/14/2023,1.958,00,,,,,,,,,,6.08%,1.958,00,119.00,5.190,96,1.616,00,2.873,00,10%,165%,2.29%,7.36%,6.08%,-14.10%,-14.10%,0,4.14%,-30.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/15/2023,1.944,00,,,,,,,,,,6.12%,1.944,00,119.00,5.190,96,1.616,00,2.873,00,9%,167%,2.29%,7.36%,6.12%,-13.48%,-13.48%,0,4.14%,-30.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/16/2023,1.992,00,,,,,,,,,,5.97%,1.992,00,119.00,5.190,96,1.616,00,2.873,00,11%,161%,2.29%,7.36%,5.97%,-15.56%,-15.56%,0,4.14%,-28.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/19/2023,1.996,00,,,,,,,,,,5.96%,1.996,00,119.00,5.190,96,1.616,00,2.873,00,11%,160%,2.29%,7.36%,5.96%,-15.73%,-15.73%,0,4.14%,-28.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/20/2023,1.968,00,,,,,,,,,,6.05%,1.968,00,119.00,5.190,96,1.616,00,2.873,00,10%,164%,2.29%,7.36%,6.05%,-14.53%,-14.53%,0,4.14%,-29.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/21/2023,1.894,00,,,,,,,,,,6.28%,1.894,00,119.00,5.190,96,1.616,00,2.873,00,8%,174%,2.29%,7.36%,6.28%,-11.19%,-11.19%,0,4.14%,-32.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/22/2023,1.848,00,,,,,,,,,,6.44%,1.848,00,119.00,5.190,96,1.616,00,2.873,00,6%,181%,2.29%,7.36%,6.44%,-8.98%,-8.98%,0,4.14%,-34.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/23/2023,1.822,00,,,,,,,,,,6.53%,1.822,00,119.00,5.190,96,1.616,00,2.873,00,6%,185%,2.29%,7.36%,6.53%,-7.68%,-7.68%,0,4.14%,-34.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/26/2023,1.814,00,,,,,,,,,,6.56%,1.814,00,119.00,5.190,96,1.616,00,2.873,00,6%,186%,2.29%,7.36%,6.56%,-7.28%,-7.28%,0,4.14%,-35.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/27/2023,1.828,00,,,,,,,,,,6.51%,1.828,00,119.00,5.190,96,1.616,00,2.873,00,6%,184%,2.29%,7.36%,6.51%,-7.99%,-7.99%,0,4.14%,-34.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/28/2023,1.862,00,,,,,,,,,,6.39%,1.862,00,119.00,5.190,96,1.616,00,2.873,00,7%,179%,2.29%,7.36%,6.39%,-9.67%,-9.67%,0,4.14%,-33.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/29/2023,1.846,00,,,,,,,,,,6.45%,1.846,00,119.00,5.190,96,1.616,00,2.873,00,6%,181%,2.29%,7.36%,6.45%,-8.88%,-8.88%,0,4.14%,-34.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,6/30/2023,1.860,00,,,,,,,,,,6.40%,1.860,00,119.00,5.190,96,1.616,00,2.873,00,7%,179%,2.29%,7.36%,6.40%,-9.57%,-9.57%,0,4.14%,-33.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/3/2023,1.894,00,,,,,,,,,,6.28%,1.894,00,119.00,5.190,96,1.616,00,2.873,00,8%,174%,2.29%,7.36%,6.28%,-11.19%,-11.19%,0,4.14%,-32.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/4/2023,1.886,00,,,,,,,,,,6.31%,1.886,00,119.00,5.190,96,1.616,00,2.873,00,8%,175%,2.29%,7.36%,6.31%,-10.82%,-10.82%,0,4.14%,-32.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/5/2023,1.882,00,,,,,,,,,,6.32%,1.882,00,119.00,5.190,96,1.616,00,2.873,00,7%,176%,2.29%,7.36%,6.32%,-10.63%,-10.63%,0,4.14%,-32.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/6/2023,1.820,00,,,,,,,,,,6.54%,1.820,00,119.00,5.190,96,1.616,00,2.873,00,6%,185%,2.29%,7.36%,6.54%,-7.58%,-7.58%,0,4.14%,-35.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/7/2023,1.844,00,,,,,,,,,,6.45%,1.844,00,119.00,5.190,96,1.616,00,2.873,00,6%,182%,2.29%,7.36%,6.45%,-8.79%,-8.79%,0,4.14%,-34.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/10/2023,1.826,00,,,,,,,,,,6.52%,1.826,00,119.00,5.190,96,1.616,00,2.873,00,6%,184%,2.29%,7.36%,6.52%,-7.89%,-7.89%,0,4.14%,-34.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/11/2023,1.812,00,,,,,,,,,,6.57%,1.812,00,119.00,5.190,96,1.616,00,2.873,00,5%,186%,2.29%,7.36%,6.57%,-7.17%,-7.17%,0,4.14%,-35.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/12/2023,1.848,00,,,,,,,,,,6.44%,1.848,00,119.00,5.190,96,1.616,00,2.873,00,6%,181%,2.29%,7.36%,6.44%,-8.98%,-8.98%,0,4.14%,-34.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/13/2023,1.856,00,,,,,,,,,,6.41%,1.856,00,119.00,5.190,96,1.616,00,2.873,00,7%,180%,2.29%,7.36%,6.41%,-9.38%,-9.38%,0,4.14%,-33.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/14/2023,1.846,00,,,,,,,,,,6.45%,1.846,00,119.00,5.190,96,1.616,00,2.873,00,6%,181%,2.29%,7.36%,6.45%,-8.88%,-8.88%,0,4.14%,-34.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/17/2023,1.814,00,,,,,,,,,,6.56%,1.814,00,119.00,5.190,96,1.616,00,2.873,00,6%,186%,2.29%,7.36%,6.56%,-7.28%,-7.28%,0,4.14%,-35.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/18/2023,1.860,00,,,,,,,,,,6.40%,1.860,00,119.00,5.190,96,1.616,00,2.873,00,7%,179%,2.29%,7.36%,6.40%,-9.57%,-9.57%,0,4.14%,-33.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/19/2023,1.922,00,,,,,,,,,,6.19%,1.922,00,119.00,5.190,96,1.616,00,2.873,00,9%,170%,2.29%,7.36%,6.19%,-12.49%,-12.49%,0,4.14%,-31.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/20/2023,1.950,00,,,,,,,,,,6.10%,1.950,00,119.00,5.190,96,1.616,00,2.873,00,9%,166%,2.29%,7.36%,6.10%,-13.74%,-13.74%,0,4.14%,-30.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/21/2023,1.916,00,,,,,,,,,,6.21%,1.916,00,119.00,5.190,96,1.616,00,2.873,00,8%,171%,2.29%,7.36%,6.21%,-12.21%,-12.21%,0,4.14%,-31.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/24/2023,1.904,00,,,,,,,,,,6.25%,1.904,00,119.00,5.190,96,1.616,00,2.873,00,8%,173%,2.29%,7.36%,6.25%,-11.66%,-11.66%,0,4.14%,-32.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/25/2023,1.926,00,,,,,,,,,,6.18%,1.926,00,119.00,5.190,96,1.616,00,2.873,00,9%,170%,2.29%,7.36%,6.18%,-12.67%,-12.67%,0,4.14%,-31.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/26/2023,1.848,00,,,,,,,,,,6.44%,1.848,00,119.00,5.190,96,1.616,00,2.873,00,6%,181%,2.29%,7.36%,6.44%,-8.98%,-8.98%,0,4.14%,-34.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/27/2023,1.802,00,,,,,,,,,,6.60%,1.802,00,119.00,5.190,96,1.616,00,2.873,00,5%,188%,2.29%,7.36%,6.60%,-6.66%,-6.66%,0,4.14%,-35.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/28/2023,1.782,00,,,,,,,,,,6.68%,1.782,00,119.00,5.190,96,1.616,00,2.873,00,5%,191%,2.29%,7.36%,6.68%,-5.61%,-5.61%,0,4.14%,-36.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,7/31/2023,1.800,00,,,,,,,,,,6.61%,1.800,00,119.00,5.190,96,1.616,00,2.873,00,5%,188%,2.29%,7.36%,6.61%,-6.56%,-6.56%,0,4.14%,-35.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/1/2023,1.782,00,,,,,,,,,,6.68%,1.782,00,119.00,5.190,96,1.616,00,2.873,00,5%,191%,2.29%,7.36%,6.68%,-5.61%,-5.61%,0,4.14%,-36.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/2/2023,1.762,00,,,,,,,,,,6.75%,1.762,00,119.00,5.190,96,1.616,00,2.873,00,4%,195%,2.29%,7.36%,6.75%,-4.54%,-4.54%,0,4.14%,-37.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/3/2023,1.710,00,,,,,,,,,,6.96%,1.710,00,119.00,5.190,96,1.616,00,2.873,00,3%,204%,2.29%,7.36%,6.96%,-1.64%,-1.64%,0,4.14%,-38.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/4/2023,1.714,00,,,,,,,,,,6.94%,1.714,00,119.00,5.190,96,1.616,00,2.873,00,3%,203%,2.29%,7.36%,6.94%,-1.87%,-1.87%,0,4.14%,-38.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/7/2023,1.720,00,,,,,,,,,,6.92%,1.720,00,119.00,5.190,96,1.616,00,2.873,00,3%,202%,2.29%,7.36%,6.92%,-2.21%,-2.21%,0,4.14%,-38.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/8/2023,1.698,00,,,,,,,,,,7.01%,1.698,00,119.00,5.190,96,1.616,00,2.873,00,2%,206%,2.29%,7.36%,7.01%,-0.94%,-0.94%,0,4.14%,-39.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/9/2023,1.722,00,,,,,,,,,,6.91%,1.722,00,119.00,5.190,96,1.616,00,2.873,00,3%,201%,2.29%,7.36%,6.91%,-2.32%,-2.32%,0,4.14%,-38.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/10/2023,1.738,00,,,,,,,,,,6.85%,1.738,00,119.00,5.190,96,1.616,00,2.873,00,3%,199%,2.29%,7.36%,6.85%,-3.22%,-3.22%,0,4.14%,-37.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/11/2023,1.724,00,,,,,,,,,,6.90%,1.724,00,119.00,5.190,96,1.616,00,2.873,00,3%,201%,2.29%,7.36%,6.90%,-2.44%,-2.44%,0,4.14%,-38.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/14/2023,1.716,00,,,,,,,,,,6.93%,1.716,00,119.00,5.190,96,1.616,00,2.873,00,3%,203%,2.29%,7.36%,6.93%,-1.98%,-1.98%,0,4.14%,-38.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/15/2023,1.688,00,,,,,,,,,,7.05%,1.688,00,119.00,5.190,96,1.616,00,2.873,00,2%,208%,2.29%,7.36%,7.05%,-0.36%,-0.36%,0,4.14%,-39.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/16/2023,1.700,00,,,,,,,,,,7.00%,1.700,00,119.00,5.190,96,1.616,00,2.873,00,2%,205%,2.29%,7.36%,7.00%,-1.06%,-1.06%,0,4.14%,-39.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/17/2023,1.700,00,,,,,,,,,,7.00%,1.700,00,119.00,5.190,96,1.616,00,2.873,00,2%,205%,2.29%,7.36%,7.00%,-1.06%,-1.06%,0,4.14%,-39.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/18/2023,1.662,00,,,,,,,,,,7.16%,1.662,00,119.00,5.190,96,1.616,00,2.873,00,1%,212%,2.29%,7.36%,7.16%,1.20%,1.20%,0,4.14%,-40.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/21/2023,1.640,00,,,,,,,,,,7.26%,1.640,00,119.00,5.190,96,1.616,00,2.873,00,1%,217%,2.29%,7.36%,7.26%,2.56%,2.56%,0,4.14%,-41.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/22/2023,1.658,00,,,,,,,,,,7.18%,1.658,00,119.00,5.190,96,1.616,00,2.873,00,1%,213%,2.29%,7.36%,7.18%,1.45%,1.45%,0,4.14%,-40.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/23/2023,1.686,00,,,,,,,,,,7.06%,1.686,00,119.00,5.190,96,1.616,00,2.873,00,2%,208%,2.29%,7.36%,7.06%,-0.24%,-0.24%,0,4.14%,-39.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/24/2023,1.674,00,,,,,,,,,,7.11%,1.674,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.11%,0.48%,0.48%,0,4.14%,-40.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/25/2023,1.676,00,,,,,,,,,,7.10%,1.676,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.10%,0.36%,0.36%,0,4.14%,-40.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/28/2023,,,,,,,,,,,7.10%,1.676,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.10%,0.36%,0.36%,0,4.14%,-40.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/29/2023,1.724,00,,,,,,,,,,6.90%,1.724,00,119.00,5.190,96,1.616,00,2.873,00,3%,201%,2.29%,7.36%,6.90%,-2.44%,-2.44%,0,4.14%,-38.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/30/2023,1.758,00,,,,,,,,,,6.77%,1.758,00,119.00,5.190,96,1.616,00,2.873,00,4%,195%,2.29%,7.36%,6.77%,-4.32%,-4.32%,0,4.14%,-37.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,8/31/2023,1.762,00,,,,,,,,,,6.75%,1.762,00,119.00,5.190,96,1.616,00,2.873,00,4%,195%,2.29%,7.36%,6.75%,-4.54%,-4.54%,0,4.14%,-37.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/1/2023,1.736,00,,,,,,,,,,6.85%,1.736,00,119.00,5.190,96,1.616,00,2.873,00,3%,199%,2.29%,7.36%,6.85%,-3.11%,-3.11%,0,4.14%,-38.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/4/2023,1.722,00,,,,,,,,,,6.91%,1.722,00,119.00,5.190,96,1.616,00,2.873,00,3%,201%,2.29%,7.36%,6.91%,-2.32%,-2.32%,0,4.14%,-38.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/5/2023,1.728,00,,,,,,,,,,6.89%,1.728,00,119.00,5.190,96,1.616,00,2.873,00,3%,200%,2.29%,7.36%,6.89%,-2.66%,-2.66%,0,4.14%,-38.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/6/2023,1.718,00,,,,,,,,,,6.93%,1.718,00,119.00,5.190,96,1.616,00,2.873,00,3%,202%,2.29%,7.36%,6.93%,-2.10%,-2.10%,0,4.14%,-38.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/7/2023,1.712,00,,,,,,,,,,6.95%,1.712,00,119.00,5.190,96,1.616,00,2.873,00,3%,203%,2.29%,7.36%,6.95%,-1.75%,-1.75%,0,4.14%,-38.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/8/2023,1.712,00,,,,,,,,,,6.95%,1.712,00,119.00,5.190,96,1.616,00,2.873,00,3%,203%,2.29%,7.36%,6.95%,-1.75%,-1.75%,0,4.14%,-38.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/11/2023,1.724,00,,,,,,,,,,6.90%,1.724,00,119.00,5.190,96,1.616,00,2.873,00,3%,201%,2.29%,7.36%,6.90%,-2.44%,-2.44%,0,4.14%,-38.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/12/2023,1.732,00,,,,,,,,,,6.87%,1.732,00,119.00,5.190,96,1.616,00,2.873,00,3%,200%,2.29%,7.36%,6.87%,-2.89%,-2.89%,0,4.14%,-38.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/13/2023,1.702,00,,,,,,,,,,6.99%,1.702,00,119.00,5.190,96,1.616,00,2.873,00,2%,205%,2.29%,7.36%,6.99%,-1.18%,-1.18%,0,4.14%,-39.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/14/2023,1.744,00,,,,,,,,,,6.82%,1.744,00,119.00,5.190,96,1.616,00,2.873,00,4%,198%,2.29%,7.36%,6.82%,-3.56%,-3.56%,0,4.14%,-37.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/15/2023,1.736,00,,,,,,,,,,6.85%,1.736,00,119.00,5.190,96,1.616,00,2.873,00,3%,199%,2.29%,7.36%,6.85%,-3.11%,-3.11%,0,4.14%,-38.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/18/2023,1.722,00,,,,,,,,,,6.91%,1.722,00,119.00,5.190,96,1.616,00,2.873,00,3%,201%,2.29%,7.36%,6.91%,-2.32%,-2.32%,0,4.14%,-38.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/19/2023,1.700,00,,,,,,,,,,7.00%,1.700,00,119.00,5.190,96,1.616,00,2.873,00,2%,205%,2.29%,7.36%,7.00%,-1.06%,-1.06%,0,4.14%,-39.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/20/2023,1.722,00,,,,,,,,,,6.91%,1.722,00,119.00,5.190,96,1.616,00,2.873,00,3%,201%,2.29%,7.36%,6.91%,-2.32%,-2.32%,0,4.14%,-38.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/21/2023,1.750,00,,,,,,,,,,6.80%,1.750,00,119.00,5.190,96,1.616,00,2.873,00,4%,197%,2.29%,7.36%,6.80%,-3.89%,-3.89%,0,4.14%,-37.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/22/2023,1.806,00,,,,,,,,,,6.59%,1.806,00,119.00,5.190,96,1.616,00,2.873,00,5%,187%,2.29%,7.36%,6.59%,-6.87%,-6.87%,0,4.14%,-35.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/25/2023,1.770,00,,,,,,,,,,6.72%,1.770,00,119.00,5.190,96,1.616,00,2.873,00,4%,193%,2.29%,7.36%,6.72%,-4.97%,-4.97%,0,4.14%,-36.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/26/2023,1.782,00,,,,,,,,,,6.68%,1.782,00,119.00,5.190,96,1.616,00,2.873,00,5%,191%,2.29%,7.36%,6.68%,-5.61%,-5.61%,0,4.14%,-36.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/27/2023,1.780,00,,,,,,,,,,6.69%,1.780,00,119.00,5.190,96,1.616,00,2.873,00,5%,192%,2.29%,7.36%,6.69%,-5.51%,-5.51%,0,4.14%,-36.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/28/2023,1.756,00,,,,,,,,,,6.78%,1.756,00,119.00,5.190,96,1.616,00,2.873,00,4%,196%,2.29%,7.36%,6.78%,-4.21%,-4.21%,0,4.14%,-37.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,9/29/2023,1.738,00,,,,,,,,,,6.85%,1.738,00,119.00,5.190,96,1.616,00,2.873,00,3%,199%,2.29%,7.36%,6.85%,-3.22%,-3.22%,0,4.14%,-37.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/2/2023,1.672,00,,,,,,,,,,7.12%,1.672,00,119.00,5.190,96,1.616,00,2.873,00,2%,210%,2.29%,7.36%,7.12%,0.60%,0.60%,0,4.14%,-40.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/3/2023,1.612,00,,,,,,,,,,7.38%,1.612,00,119.00,5.190,96,1.616,00,2.873,00,0%,222%,2.29%,7.36%,7.38%,4.34%,4.34%,0,4.14%,-42.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/4/2023,1.584,00,,,,,,,,,,7.51%,1.584,00,119.00,5.190,96,1.616,00,2.873,00,-1%,228%,2.29%,7.36%,7.51%,6.19%,6.19%,0,4.14%,-43.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/5/2023,1.602,00,,,,,,,,,,7.43%,1.602,00,119.00,5.190,96,1.616,00,2.873,00,0%,224%,2.29%,7.36%,7.43%,4.99%,4.99%,0,4.14%,-42.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/6/2023,1.638,00,,,,,,,,,,7.26%,1.638,00,119.00,5.190,96,1.616,00,2.873,00,1%,217%,2.29%,7.36%,7.26%,2.69%,2.69%,0,4.14%,-41.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/9/2023,1.618,00,,,,,,,,,,7.35%,1.618,00,119.00,5.190,96,1.616,00,2.873,00,0%,221%,2.29%,7.36%,7.35%,3.96%,3.96%,0,4.14%,-42.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/10/2023,1.650,00,,,,,,,,,,7.21%,1.650,00,119.00,5.190,96,1.616,00,2.873,00,1%,215%,2.29%,7.36%,7.21%,1.94%,1.94%,0,4.14%,-41.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/11/2023,1.620,00,,,,,,,,,,7.35%,1.620,00,119.00,5.190,96,1.616,00,2.873,00,0%,220%,2.29%,7.36%,7.35%,3.83%,3.83%,0,4.14%,-42.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/12/2023,1.642,00,,,,,,,,,,7.25%,1.642,00,119.00,5.190,96,1.616,00,2.873,00,1%,216%,2.29%,7.36%,7.25%,2.44%,2.44%,0,4.14%,-41.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/13/2023,1.568,00,,,,,,,,,,7.59%,1.568,00,119.00,5.190,96,1.616,00,2.873,00,-1%,231%,2.29%,7.36%,7.59%,7.27%,7.27%,0,4.14%,-44.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/16/2023,1.598,00,,,,,,,,,,7.45%,1.598,00,119.00,5.190,96,1.616,00,2.873,00,-1%,225%,2.29%,7.36%,7.45%,5.26%,5.26%,0,4.14%,-42.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/17/2023,1.568,00,,,,,,,,,,7.59%,1.568,00,119.00,5.190,96,1.616,00,2.873,00,-1%,231%,2.29%,7.36%,7.59%,7.27%,7.27%,0,4.14%,-44.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/18/2023,1.540,00,,,,,,,,,,7.73%,1.540,00,119.00,5.190,96,1.616,00,2.873,00,-2%,237%,2.29%,7.36%,7.73%,9.22%,9.22%,0,4.14%,-45.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/19/2023,1.484,00,,,,,,,,,,8.02%,1.484,00,119.00,5.190,96,1.616,00,2.873,00,-4%,250%,2.29%,7.36%,8.02%,13.34%,13.34%,0,4.14%,-47.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/20/2023,1.470,00,,,,,,,,,,8.10%,1.470,00,119.00,5.190,96,1.616,00,2.873,00,-4%,253%,2.29%,7.36%,8.10%,14.42%,14.42%,0,4.14%,-47.50%,,,,,,,,,,,,
