,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,REL LN,RELX PLC,,,,,,,,,,36%,40%,$2.682,00,$   2.077,71,$  2.467,79,$       4.135,00,$  3.766,30,3.08%,1.48%,2.21%,4.96%,138.19%,151.81%,122%,,,,,,,NO,,,2.88%,1.36%,1.52%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,RELX PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.69%,11/10/2017,,,,,,,,,,$  2.467,79,-8%,2.08%,$  3.766,30,$   1.436,97,$        1.126,00,$   1.209,83,1.35%,2.69%,2.27%,1.35%,-35.14%,-35.14%,-16%,,,,5Y CAGR,3.22%,,RELX PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.56%,,RELX PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,RELX PLC - Rating: 36% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2020,12/11/2020,1.820,50,,,,,,,,,,2.51%,1.820,50,45.70,3.079,07,1.698,59,2.017,49,9%,69%,1.48%,2.69%,3.07%,47.32%,47.32%,0,2.27%,-13.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/14/2020,1.795,00,,,,,,,,,,2.55%,1.795,00,45.70,3.079,07,1.698,59,2.017,49,7%,72%,1.48%,2.69%,3.11%,49.42%,49.42%,0,2.27%,-14.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/15/2020,1.770,50,,,,,,,,,,2.58%,1.770,50,45.70,3.079,07,1.698,59,2.017,49,5%,74%,1.48%,2.69%,3.16%,51.48%,51.48%,0,2.27%,-15.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/16/2020,1.781,50,,,,,,,,,,2.57%,1.781,50,45.70,3.079,07,1.698,59,2.017,49,6%,73%,1.48%,2.69%,3.14%,50.55%,50.55%,0,2.27%,-15.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/17/2020,1.784,50,,,,,,,,,,2.56%,1.784,50,45.70,3.079,07,1.698,59,2.017,49,6%,73%,1.48%,2.69%,3.13%,50.29%,50.29%,0,2.27%,-14.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/18/2020,1.801,00,,,,,,,,,,2.54%,1.801,00,45.70,3.079,07,1.698,59,2.017,49,7%,71%,1.48%,2.69%,3.10%,48.92%,48.92%,0,2.27%,-14.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/21/2020,1.783,00,,,,,,,,,,2.56%,1.783,00,45.70,3.079,07,1.698,59,2.017,49,6%,73%,1.48%,2.69%,3.14%,50.42%,50.42%,0,2.27%,-15.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/22/2020,1.792,50,,,,,,,,,,2.55%,1.792,50,45.70,3.079,07,1.698,59,2.017,49,7%,72%,1.48%,2.69%,3.12%,49.62%,49.62%,0,2.27%,-14.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/23/2020,1.781,00,,,,,,,,,,2.57%,1.781,00,45.70,3.079,07,1.698,59,2.017,49,6%,73%,1.48%,2.69%,3.14%,50.59%,50.59%,0,2.27%,-15.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/24/2020,1.792,50,,,,,,,,,,2.55%,1.792,50,45.70,3.079,07,1.698,59,2.017,49,7%,72%,1.48%,2.69%,3.12%,49.62%,49.62%,0,2.27%,-14.60%,,,,,,,,,,,,
