,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Lotus Bakeries NV - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2023,10/27/2023,€                                                  6.890,00,,,,,,,,,,0.65%,€       6.890,00,45.00,10.839,00,3.770,69,6.222,29,44%,57%,0.42%,1.19%,0.65%,55.59%,55.59%,0,0.72%,-10.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/30/2023,€                                                  6.960,00,,,,,,,,,,0.65%,€       6.960,00,45.00,10.839,00,3.770,69,6.222,29,45%,56%,0.42%,1.19%,0.65%,54.02%,54.02%,0,0.72%,-9.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,10/31/2023,€                                                  7.000,00,,,,,,,,,,0.64%,€       7.000,00,45.00,10.839,00,3.770,69,6.222,29,46%,55%,0.42%,1.19%,0.64%,53.14%,53.14%,0,0.72%,-8.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/1/2023,€                                                  7.070,00,,,,,,,,,,0.64%,€       7.070,00,45.00,10.839,00,3.770,69,6.222,29,47%,53%,0.42%,1.19%,0.64%,51.63%,51.63%,0,0.72%,-8.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/2/2023,€                                                  7.240,00,,,,,,,,,,0.62%,€       7.240,00,45.00,10.839,00,3.770,69,6.222,29,49%,50%,0.42%,1.19%,0.62%,48.07%,48.07%,0,0.72%,-5.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/3/2023,€                                                  7.200,00,,,,,,,,,,0.63%,€       7.200,00,45.00,10.839,00,3.770,69,6.222,29,49%,51%,0.42%,1.19%,0.63%,48.89%,48.89%,0,0.72%,-6.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/6/2023,€                                                  7.240,00,,,,,,,,,,0.62%,€       7.240,00,45.00,10.839,00,3.770,69,6.222,29,49%,50%,0.42%,1.19%,0.62%,48.07%,48.07%,0,0.72%,-5.85%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/7/2023,€                                                  7.250,00,,,,,,,,,,0.62%,€       7.250,00,45.00,10.839,00,3.770,69,6.222,29,49%,50%,0.42%,1.19%,0.62%,47.86%,47.86%,0,0.72%,-5.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/8/2023,€                                                  7.230,00,,,,,,,,,,0.62%,€       7.230,00,45.00,10.839,00,3.770,69,6.222,29,49%,50%,0.42%,1.19%,0.62%,48.27%,48.27%,0,0.72%,-5.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/9/2023,€                                                  7.360,00,,,,,,,,,,0.61%,€       7.360,00,45.00,10.839,00,3.770,69,6.222,29,51%,47%,0.42%,1.19%,0.61%,45.65%,45.65%,0,0.72%,-4.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/10/2023,€                                                  7.350,00,,,,,,,,,,0.61%,€       7.350,00,45.00,10.839,00,3.770,69,6.222,29,51%,47%,0.42%,1.19%,0.61%,45.85%,45.85%,0,0.72%,-4.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/13/2023,€                                                  7.350,00,,,,,,,,,,0.61%,€       7.350,00,45.00,10.839,00,3.770,69,6.222,29,51%,47%,0.42%,1.19%,0.61%,45.85%,45.85%,0,0.72%,-4.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/14/2023,€                                                  7.430,00,,,,,,,,,,0.61%,€       7.430,00,45.00,10.839,00,3.770,69,6.222,29,52%,46%,0.42%,1.19%,0.61%,44.28%,44.28%,0,0.72%,-3.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/15/2023,€                                                   7.510,00,,,,,,,,,,0.60%,€        7.510,00,45.00,10.839,00,3.770,69,6.222,29,53%,44%,0.42%,1.19%,0.60%,42.74%,42.74%,0,0.72%,-2.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2023,11/16/2023,€                                                   7.510,00,,,,,,,,,,0.60%,€        7.510,00,45.00,10.839,00,3.770,69,6.222,29,53%,44%,0.42%,1.19%,0.60%,42.74%,42.74%,0,0.72%,-2.34%,,,,,,,,,,,,
